"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2024","6,152.0","6,134.0","6,152.0","6,120.0","2.17K","-0.32%"
"10/30/2024","6,172.0","6,196.0","6,196.0","6,152.0","9.89K","-0.08%"
"10/29/2024","6,177.0","6,193.0","6,215.0","6,176.0","4.10K","-0.23%"
"10/28/2024","6,191.0","6,234.0","6,234.0","6,184.0","16.52K","-0.19%"
"10/25/2024","6,203.0","6,200.0","6,211.2","6,198.0","2.60K","0.04%"
"10/24/2024","6,200.5","6,220.0","6,242.6","6,154.0","3.20K","-0.25%"
"10/23/2024","6,216.0","6,240.0","6,248.5","6,218.0","1.83K","-0.24%"
"10/22/2024","6,231.0","6,224.0","6,241.0","6,221.0","23.30K","-0.02%"
"10/21/2024","6,232.0","6,242.4","6,260.0","6,228.6","5.97K","-0.19%"
"10/18/2024","6,244.0","6,229.0","6,244.0","6,220.0","4.68K","-0.34%"
"10/17/2024","6,265.0","6,250.0","6,287.9","6,226.0","5.43K","0.67%"
"10/16/2024","6,223.5","6,210.0","6,222.0","6,197.0","15.61K","0.67%"
"10/15/2024","6,182.0","6,225.0","6,243.0","6,182.0","11.13K","-0.48%"
"10/14/2024","6,212.0","6,169.4","6,221.0","6,169.0","14.84K","0.81%"
"10/11/2024","6,162.0","6,131.8","6,164.0","6,114.8","11.17K","0.44%"
"10/10/2024","6,135.0","6,127.2","6,137.5","6,114.0","21.09K","0.29%"
"10/09/2024","6,117.0","6,094.0","6,117.0","6,079.0","4.88K","0.56%"
"10/08/2024","6,083.0","6,042.0","6,086.0","6,035.8","6.97K","0.03%"
"10/07/2024","6,081.0","6,054.0","6,081.9","6,047.0","3.35K","0.76%"
"10/04/2024","6,035.0","6,016.0","6,081.0","5,883.0","7.46K","0.14%"
"10/03/2024","6,026.5","6,003.9","6,045.0","5,996.0","4.45K","0.74%"
"10/02/2024","5,982.0","5,966.0","5,982.0","5,940.6","5.08K","0.17%"
"10/01/2024","5,972.0","5,979.0","6,001.4","5,938.1","10.12K","0.59%"
"09/30/2024","5,937.0","5,962.0","5,979.0","5,936.2","1.54K","-0.63%"
"09/27/2024","5,974.5","6,000.0","6,015.0","5,969.0","6.87K","-0.50%"
"09/26/2024","6,004.5","6,076.3","6,094.2","5,997.7","8.46K","0.19%"
"09/25/2024","5,993.0","5,947.0","5,994.0","5,947.0","4.41K","0.80%"
"09/24/2024","5,945.5","5,978.3","5,978.3","5,925.8","5.06K","-0.04%"
"09/23/2024","5,948.0","5,985.0","5,985.4","5,961.0","2.45K","0.13%"
"09/20/2024","5,940.5","5,940.0","5,961.0","5,937.8","2.98K","-0.48%"
"09/19/2024","5,969.0","5,922.0","5,978.0","5,916.0","4.50K","1.99%"
"09/18/2024","5,852.5","5,884.0","5,884.0","5,842.0","1.55K","-0.74%"
"09/17/2024","5,896.0","5,853.0","5,907.0","5,853.0","4.67K","0.87%"
"09/16/2024","5,845.0","5,866.0","5,888.0","5,832.0","4.04K","-0.64%"
"09/13/2024","5,882.5","5,857.0","5,878.4","5,850.8","0.36K","0.81%"
"09/12/2024","5,835.5","5,819.0","5,845.5","5,815.0","5.03K","3.06%"
"09/11/2024","5,662.0","5,657.0","5,694.6","5,633.0","6.43K","0.12%"
"09/10/2024","5,655.0","5,701.6","5,726.0","5,640.0","6.34K","0.18%"
"09/09/2024","5,645.0","5,617.9","5,676.0","5,617.9","1.94K","1.41%"
"09/06/2024","5,566.5","5,651.0","5,697.0","5,590.0","4.73K","-2.22%"
"09/05/2024","5,693.0","5,740.0","5,758.0","5,693.0","7.47K","-1.15%"
"09/04/2024","5,759.0","5,719.8","5,785.6","5,719.8","10.08K","-1.72%"
"09/03/2024","5,859.5","5,989.0","5,990.4","5,863.5","4.96K","-1.85%"
"09/02/2024","5,970.0","5,970.0","5,979.0","5,951.0","5.45K","0.73%"
"08/30/2024","5,927.0","5,919.4","5,967.0","5,919.4","5.13K","-0.26%"
"08/29/2024","5,942.5","5,861.0","5,956.0","5,861.0","15.46K","1.18%"
"08/28/2024","5,873.0","5,907.0","5,928.0","5,871.0","3.82K","-0.51%"
"08/27/2024","5,903.0","5,904.0","5,924.0","5,876.0","23.16K","-0.90%"
"08/23/2024","5,956.5","5,967.0","5,991.4","5,931.3","6.12K","-0.45%"
"08/22/2024","5,983.5","6,006.0","6,022.0","5,984.0","8.06K","-0.08%"
"08/21/2024","5,988.0","5,997.0","6,004.0","5,975.0","3.09K","0.07%"
"08/20/2024","5,984.0","6,023.2","6,035.1","5,980.0","4.46K","0.07%"
"08/19/2024","5,980.0","5,946.0","5,987.0","5,946.0","2.20K","0.02%"
"08/16/2024","5,979.0","6,034.0","6,034.0","5,956.2","7.55K","-0.10%"
"08/15/2024","5,985.0","5,899.0","5,986.5","5,886.0","20.64K","2.05%"
"08/14/2024","5,865.0","5,858.2","5,873.0","5,824.4","5.81K","0.96%"
"08/13/2024","5,809.0","5,760.0","5,813.0","5,758.2","14.73K","1.42%"
"08/12/2024","5,727.5","5,744.0","5,760.4","5,713.0","14.38K","0.44%"
"08/09/2024","5,702.5","5,674.0","5,728.0","5,674.0","61.83K","0.86%"
"08/08/2024","5,654.0","5,559.0","5,667.0","5,518.9","12.44K","0.10%"
"08/07/2024","5,648.5","5,627.0","5,684.4","5,602.2","21.56K","1.79%"
"08/06/2024","5,549.0","5,526.0","5,589.1","5,473.0","15.00K","1.70%"
"08/05/2024","5,456.0","5,344.0","5,469.0","5,215.0","42.18K","-1.98%"
"08/02/2024","5,566.0","5,743.9","5,748.0","5,522.6","32.62K","-5.36%"
"08/01/2024","5,881.0","5,985.6","6,009.9","5,881.0","5.74K","-1.23%"
"07/31/2024","5,954.0","5,901.0","5,953.1","5,889.0","1.99K","2.39%"
"07/30/2024","5,815.0","5,840.0","5,891.0","5,802.2","7.48K","-0.28%"
"07/29/2024","5,831.5","5,889.7","5,908.0","5,833.0","3.07K","0.08%"
"07/26/2024","5,827.0","5,794.0","5,848.4","5,794.0","2.60K","0.13%"
"07/25/2024","5,819.5","5,851.0","5,862.0","5,714.0","12.20K","-1.42%"
"07/24/2024","5,903.5","6,007.0","6,007.0","5,901.6","4.75K","-2.72%"
"07/23/2024","6,068.5","6,019.0","6,074.0","5,996.0","5.13K","1.53%"
"07/22/2024","5,977.0","5,960.4","6,011.0","5,944.0","2.48K","0.49%"
"07/19/2024","5,948.0","5,951.0","5,980.4","5,932.4","2.39K","0.43%"
"07/18/2024","5,922.5","6,017.0","6,039.0","5,920.0","12.46K","-1.86%"
"07/17/2024","6,034.5","6,139.6","6,139.6","6,024.0","24.09K","-2.51%"
"07/16/2024","6,190.0","6,191.0","6,207.3","6,172.5","6.27K","-0.08%"
"07/15/2024","6,195.0","6,174.0","6,213.0","6,167.0","9.36K","0.13%"
"07/12/2024","6,187.0","6,175.1","6,187.3","6,146.7","4.34K","0.08%"
"07/11/2024","6,182.0","6,284.5","6,289.0","6,182.0","4.66K","-1.19%"
"07/10/2024","6,256.5","6,257.0","6,272.4","6,249.0","15.27K","0.18%"
"07/09/2024","6,245.5","6,244.0","6,253.0","6,233.5","4.81K","0.41%"
"07/08/2024","6,220.0","6,209.0","6,229.0","6,189.0","4.38K","0.36%"
"07/05/2024","6,197.5","6,233.0","6,233.0","6,191.8","5.90K","-0.28%"
"07/04/2024","6,215.0","6,215.0","6,228.9","6,207.0","2.77K","0.54%"
"07/03/2024","6,181.5","6,186.0","6,193.0","6,163.0","10.92K","0.64%"
"07/02/2024","6,142.0","6,159.0","6,180.0","6,118.7","7.15K","-0.06%"
"07/01/2024","6,145.5","6,169.5","6,184.0","6,102.1","18.06K","-0.58%"
"06/28/2024","6,181.5","6,186.0","6,229.2","6,168.0","5.57K","0.82%"
"06/27/2024","6,131.5","6,139.0","6,160.0","6,126.0","3.05K","0.06%"
"06/26/2024","6,128.0","6,160.0","6,165.5","6,115.0","15.88K","0.10%"
"06/25/2024","6,122.0","6,083.3","6,124.0","6,068.0","5.08K","0.48%"
"06/24/2024","6,092.5","6,125.3","6,133.0","6,075.8","1.38K","-0.38%"
"06/21/2024","6,116.0","6,164.0","6,173.0","6,097.0","20.44K","-1.42%"
"06/20/2024","6,204.0","6,202.0","6,219.6","6,178.0","6.13K","0.59%"
"06/19/2024","6,167.5","6,183.0","6,183.0","6,160.2","3.38K","0.15%"
"06/18/2024","6,158.0","6,153.0","6,165.1","6,134.0","9.22K","0.98%"
"06/17/2024","6,098.5","6,101.0","6,109.0","6,084.0","17.53K","0.42%"
"06/14/2024","6,073.0","6,088.0","6,088.0","6,044.0","5.56K","0.40%"
"06/13/2024","6,049.0","6,080.0","6,083.0","6,051.0","4.40K","0.07%"
"06/12/2024","6,045.0","6,022.0","6,053.4","5,850.0","6.75K","0.90%"
"06/11/2024","5,991.0","6,057.0","6,057.0","5,981.9","10.52K","-0.56%"
"06/10/2024","6,025.0","6,000.0","6,025.0","5,975.0","3.32K","0.48%"
"06/07/2024","5,996.0","5,982.0","6,006.0","5,948.6","2.95K","0.33%"
"06/06/2024","5,976.5","5,980.0","6,001.0","5,974.3","1.90K","0.53%"
"06/05/2024","5,945.0","5,889.0","5,949.0","5,875.0","3.36K","1.68%"
